source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0,source0
-2.596585,-2.564285,2.9586,0.7707,1.2094,0.1676,-2.117085,-1.702685,1.5732,3.1064,-1.968685,2.1796,2.2636,-1.883485,-0.9102853,-2.621485,1.5222,0.486,-1.623985,2.8112,2.4018,0.4818,-0.1676853,1.5036,-1.964285,0.3773,-1.246785,-0.3501853,-2.581885,2.6733,-2.529985,1.7895,0.0734,-2.638285,-2.617885,1.6087,1.5891,2.7521,-0.4506853,-1.951185,-1.942985,-0.4598853,-0.5901853,1.9496,2.7848,1.3953,-2.099185,-0.9544853,-2.549385,2.5614,1.885,-1.798585,-1.693685,-0.7768853,-0.3967853,2.5258,-0.3701853,1.6834,-2.666985,1.4827,0.1838,0.9218,-2.615485,1.0341,1.4672,-1.169385,0.1517,1.4842,-1.325085,0.3118,-2.908285,-2.450885,0.0838,-2.785485,-2.308885,-2.082785,1.0258,1.5105,-2.187485,-0.5271853,-2.522285,2.5166,1.1167,-2.743085,-1.395585,2.6117,2.8089,2.3663,2.0158,-2.654485,-2.794485,0.8318,0.4195,1.6207,0.8768
-2.607085,-2.575485,2.9476,0.7597,1.1966,0.1573,-2.128185,-1.712985,1.5609,3.096,-1.979785,2.1689,2.2526,-1.894685,-0.9211853,-2.632285,1.5114,0.4755,-1.634885,2.8001,2.3911,0.4711,-0.1785853,1.4929,-1.975185,0.3669,-1.257885,-0.3612853,-2.592485,2.6606,-2.540485,1.779,0.0627,-2.648985,-2.627385,1.5973,1.5781,2.7415,-0.4610853,-1.961485,-1.953285,-0.4701853,-0.6006853,1.9383,2.7738,1.3841,-2.109785,-0.9666853,-2.560185,2.5511,1.8743,-1.809885,-1.704885,-0.7879853,-0.4072853,2.5138,-0.3806853,1.6732,-2.678185,1.4726,0.1731,0.9116,-2.622085,1.0252,1.4546,-1.179585,0.1419,1.4745,-1.336185,0.3003,-2.916985,-2.461885,0.0737,-2.796785,-2.319285,-2.093485,1.0147,1.4986,-2.199085,-0.5381853,-2.533685,2.5081,1.106,-2.753485,-1.406485,2.601,2.7977,2.3549,2.0058,-2.664685,-2.805785,0.8207,0.4093,1.6083,0.8655
-2.617485,-2.586985,2.9368,0.7484,1.1859,0.1471,-2.139885,-1.724885,1.5513,3.0846,-1.990685,2.1585,2.2426,-1.905085,-0.9317853,-2.642985,1.5005,0.4629,-1.645785,2.7891,2.3802,0.4603,-0.1893853,1.4821,-1.986385,0.3562,-1.268785,-0.3722853,-2.603485,2.6503,-2.550885,1.7682,0.0522,-2.661185,-2.637885,1.5855,1.5678,2.73,-0.4727853,-1.971585,-1.963385,-0.4809853,-0.6109853,1.9265,2.7632,1.3741,-2.120285,-0.9770853,-2.571885,2.5409,1.8626,-1.820285,-1.716185,-0.7991853,-0.4173853,2.5027,-0.3916853,1.6615,-2.690485,1.4604,0.162,0.9003,-2.632585,1.0189,1.4437,-1.189385,0.1301,1.4624,-1.347185,0.2882,-2.926685,-2.474485,0.0622,-2.808385,-2.331085,-2.104285,1.0044,1.4873,-2.211285,-0.5500853,-2.544085,2.4945,1.0958,-2.763985,-1.416885,2.5887,2.7873,2.3437,1.9954,-2.675585,-2.816985,0.8104,0.3992,1.5991,0.8531
-2.628085,-2.598285,2.9261,0.7366,1.176,0.1365,-2.151285,-1.735785,1.5399,3.0734,-2.001185,2.1495,2.2327,-1.915385,-0.9421853,-2.652985,1.4901,0.4524,-1.656585,2.7786,2.369,0.4492,-0.1995853,1.4712,-1.997285,0.3457,-1.280285,-0.3835853,-2.613985,2.6386,-2.561385,1.7575,0.0421,-2.672585,-2.648085,1.5737,1.5571,2.7193,-0.4834853,-1.981985,-1.973785,-0.4929853,-0.6222853,1.914,2.7525,1.3627,-2.130985,-0.9866853,-2.582385,2.5307,1.8524,-1.833085,-1.727285,-0.8098853,-0.4281853,2.4919,-0.4006853,1.653,-2.701385,1.4499,0.1513,0.8906,-2.642585,1.0066,1.434,-1.200785,0.1197,1.4512,-1.358085,0.2792,-2.938185,-2.484985,0.0493,-2.817885,-2.340885,-2.114785,0.9949,1.4764,-2.222985,-0.5614853,-2.555385,2.4835,1.085,-2.776385,-1.427585,2.5786,2.7771,2.3326,1.9836,-2.687185,-2.827585,0.7992,0.3867,1.5881,0.8422
-2.640085,-2.609385,2.9155,0.7253,1.1636,0.1261,-2.162285,-1.747585,1.53,3.0626,-2.011485,2.1397,2.2223,-1.924885,-0.9529853,-2.661885,1.4793,0.4416,-1.666885,2.768,2.3583,0.4383,-0.2098853,1.4605,-2.007585,0.3354,-1.291185,-0.3947853,-2.624785,2.6266,-2.571285,1.7441,0.0318,-2.684585,-2.658885,1.5625,1.5468,2.708,-0.4936853,-1.991785,-1.983685,-0.5034853,-0.6328853,1.9024,2.7416,1.3512,-2.141785,-0.9978853,-2.593185,2.5201,1.8404,-1.843585,-1.739185,-0.8203853,-0.4390853,2.4818,-0.4113853,1.6411,-2.710985,1.4372,0.1392,0.8799,-2.653585,0.9901,1.4227,-1.210285,0.1088,1.4415,-1.368385,0.2674,-2.948485,-2.495685,0.0392,-2.828885,-2.351685,-2.125085,0.9837,1.4651,-2.234685,-0.5726853,-2.565685,2.4721,1.0738,-2.787385,-1.438185,2.5666,2.7668,2.3211,1.9736,-2.698685,-2.839285,0.7895,0.3772,1.5792,0.8297
-2.651085,-2.620385,2.9051,0.7141,1.1538,0.1157,-2.174085,-1.759185,1.5195,3.0519,-2.022085,2.1295,2.2124,-1.934885,-0.9626853,-2.675185,1.4685,0.431,-1.677285,2.7579,2.3472,0.4278,-0.2202853,1.4495,-2.018485,0.3251,-1.302785,-0.4063853,-2.635285,2.6142,-2.581685,1.7346,0.0215,-2.696585,-2.669585,1.5505,1.5366,2.6969,-0.5039853,-2.002085,-1.993885,-0.5153853,-0.6429853,1.8901,2.7314,1.3404,-2.152785,-1.008185,-2.605585,2.5096,1.8278,-1.852285,-1.751085,-0.8310853,-0.4500853,2.471,-0.4248853,1.6303,-2.722785,1.4263,0.1272,0.8684,-2.664285,0.9834,1.4104,-1.221585,0.0984,1.4308,-1.378985,0.2556,-2.962985,-2.507485,0.0277,-2.839785,-2.361585,-2.136185,0.9742,1.4527,-2.245785,-0.5852853,-2.575585,2.4641,1.0644,-2.804285,-1.449385,2.5566,2.7564,2.3115,1.9635,-2.707285,-2.849785,0.7788,0.3666,1.5694,0.8185
-2.660785,-2.630985,2.8946,0.7026,1.1414,0.1051,-2.186785,-1.771585,1.5077,3.0401,-2.032285,2.1191,2.2027,-1.944285,-0.9737853,-2.685385,1.4578,0.4208,-1.687985,2.7476,2.3373,0.4176,-0.2309853,1.4382,-2.029785,0.314,-1.314085,-0.4179853,-2.646385,2.6018,-2.591885,1.7239,0.0107,-2.707385,-2.680585,1.539,1.5266,2.6857,-0.5142853,-2.012285,-2.004185,-0.5262853,-0.6544853,1.8775,2.7216,1.3293,-2.163485,-1.018285,-2.617185,2.4993,1.8173,-1.863585,-1.762885,-0.8413853,-0.4612853,2.459,-0.4320853,1.6213,-2.733085,1.4139,0.116,0.8566,-2.674585,0.9716,1.4021,-1.231885,0.0879,1.4187,-1.389285,0.2459,-2.974785,-2.519385,0.0146,-2.851485,-2.372085,-2.147285,0.9633,1.4428,-2.258085,-0.5979853,-2.585785,2.4529,1.0524,-2.804685,-1.458985,2.5443,2.7459,2.2991,1.9533,-2.718085,-2.862085,0.7683,0.3542,1.5607,0.8058
-2.672485,-2.641285,2.8844,0.692,1.1294,0.0947,-2.198385,-1.784385,1.4972,3.0292,-2.041885,2.1103,2.1929,-1.953985,-0.9834853,-2.694785,1.4476,0.4089,-1.698285,2.7378,2.3263,0.4075,-0.2417853,1.427,-2.040585,0.3037,-1.325385,-0.4293853,-2.657385,2.5898,-2.602585,1.713,-8.53E-05,-2.719585,-2.690685,1.5275,1.5169,2.6749,-0.5251853,-2.022585,-2.014485,-0.5371853,-0.6665853,1.8658,2.7116,1.3178,-2.173485,-1.028385,-2.626285,2.4888,1.8068,-1.875085,-1.774585,-0.8516853,-0.4719853,2.4477,-0.4443853,1.6087,-2.742685,1.404,0.1043,0.8456,-2.684585,0.9637,1.3917,-1.243085,0.0779,1.408,-1.399585,0.2334,-2.986785,-2.529685,0.0034,-2.863385,-2.382785,-2.157585,0.9524,1.4302,-2.269585,-0.6092853,-2.596785,2.4404,1.0427,-2.815785,-1.469385,2.5331,2.7354,2.2892,1.9423,-2.728685,-2.873185,0.7579,0.3434,1.5504,0.7936
-2.683585,-2.651285,2.8739,0.6817,1.1188,0.084,-2.209985,-1.795785,1.486,3.0175,-2.052185,2.1004,2.183,-1.963485,-0.9928853,-2.705685,1.4371,0.398,-1.709085,2.7278,2.3156,0.3989,-0.2519853,1.4157,-2.051385,0.2934,-1.336785,-0.4410853,-2.668485,2.5776,-2.612885,1.7021,-0.01048531,-2.730685,-2.701285,1.5163,1.5068,2.664,-0.5358853,-2.033285,-2.025085,-0.5495853,-0.6787853,1.8535,2.701,1.3065,-2.184385,-1.038985,-2.638685,2.4783,1.7943,-1.888685,-1.786885,-0.8615853,-0.4829853,2.437,-0.4549853,1.5998,-2.754485,1.3907,0.0913,0.8342,-2.695485,0.9512,1.3823,-1.253185,0.0681,1.398,-1.409885,0.2212,-2.999085,-2.542085,-0.007885307,-2.874185,-2.392485,-2.168285,0.9439,1.4202,-2.281885,-0.6216853,-2.607385,2.4283,1.0318,-2.827185,-1.480485,2.5238,2.7246,2.2775,1.9321,-2.739485,-2.884385,0.7476,0.3322,1.5401,0.7808
-2.694485,-2.661985,2.8642,0.6718,1.1073,0.0736,-2.222985,-1.807585,1.4762,3.005,-2.062785,2.0907,2.1723,-1.974485,-1.002685,-2.715585,1.4268,0.3868,-1.719385,2.7179,2.3049,0.3883,-0.2625853,1.4044,-2.062085,0.2831,-1.349285,-0.4530853,-2.679385,2.5658,-2.623485,1.6922,-0.02128531,-2.742585,-2.710585,1.5044,1.497,2.6529,-0.5468853,-2.044085,-2.035885,-0.5604853,-0.6899853,1.8419,2.6908,1.2941,-2.194585,-1.050185,-2.648785,2.4675,1.7817,-1.899185,-1.799085,-0.8720853,-0.4938853,2.4265,-0.4633853,1.5886,-2.765185,1.3796,0.0812,0.8221,-2.705285,0.9423,1.3709,-1.265085,0.0583,1.3865,-1.420085,0.2119,-3.009985,-2.551185,-0.02098531,-2.885985,-2.402285,-2.178885,0.9301,1.4077,-2.292885,-0.6335853,-2.616785,2.4162,1.0212,-2.839085,-1.490485,2.509,2.7138,2.267,1.9213,-2.750185,-2.895685,0.7367,0.3205,1.5282,0.7695
